,Date,Peak-to-peak Drawdowns,Prices,Candidate trough,Real-time Drawdowns,ADD
1,NA,NA,925,NA,NA,NA
2,9/11/1997,NA,918.25,NA,NA,NA
3,9/12/1997,NA,933.75,NA,NA,NA
4,9/15/1997,NA,931.5,NA,NA,NA
5,9/16/1997,0,956,NA,0,0
6,9/17/1997,0,956,NA,0,0
7,9/18/1997,0.001828871,957.75,NA,0.001828871,0.001828871
8,9/19/1997,0.005216496,961,NA,0.005216496,0.005216496
9,9/22/1997,0,966.25,NA,0,0
10,9/23/1997,-0.004408149,962,NA,-0.004408149,-0.004408149
11,9/24/1997,-0.012234957,954.5,NA,-0.012234957,-0.012234957
12,9/25/1997,-0.020651629,946.5,NA,-0.020651629,-0.020651629
13,9/26/1997,-0.013545401,953.25,NA,-0.013545401,-0.013545401
14,9/29/1997,-0.004668058,961.75,NA,-0.004668058,-0.004668058
15,9/30/1997,-0.012234957,954.5,NA,-0.012234957,-0.012234957
16,10/1/1997,-0.002850112,963.5,9/25/1997,-0.002850112,-0.002850112
17,10/2/1997,0.002842012,969,NA,0.002842012,0.002842012
18,10/3/1997,0.00952756,975.5,NA,0.00952756,0.00952756
19,10/6/1997,0.014385041,980.25,NA,0.014385041,0.014385041
20,10/7/1997,0,989.5,NA,0,0
21,10/8/1997,-0.007353907,982.25,9/25/1997,-0.007353907,-0.007353907
22,10/9/1997,-0.011690095,978,NA,-0.011690095,-0.011690095
23,10/10/1997,-0.012969031,976.75,NA,-0.012969031,-0.012969031
24,10/13/1997,-0.013481064,976.25,NA,-0.013481064,-0.013481064
25,10/14/1997,-0.012201473,977.5,NA,-0.012201473,-0.012201473
26,10/15/1997,-0.01630194,973.5,10/13/1997,-0.01630194,-0.01630194
27,10/16/1997,-0.030526931,959.75,NA,-0.030526931,-0.030526931
28,10/17/1997,-0.042054436,948.75,NA,-0.042054436,-0.042054436
29,10/20/1997,-0.027925473,962.25,NA,-0.027925473,-0.027925473
30,10/21/1997,-0.010157528,979.5,NA,-0.010157528,-0.010157528
31,10/22/1997,-0.015531821,974.25,10/17/1997,-0.015531821,-0.015531821
32,10/23/1997,-0.034965001,955.5,NA,-0.034965001,-0.034965001
33,10/24/1997,-0.047073599,944,NA,-0.047073599,-0.047073599
34,10/27/1997,-0.124119389,874,NA,0,-0.124119389
35,10/28/1997,-0.067946714,924.5,NA,0.024395483,-0.067946714
36,10/29/1997,-0.068217167,924.25,10/27/1997,0.024278027,-0.068217167
37,10/30/1997,-0.091477212,903,NA,0.014176318,-0.091477212
38,10/31/1997,-0.068487693,924,NA,0.024160539,-0.068487693
39,11/3/1997,-0.045221502,945.75,NA,0.034264918,-0.045221502
40,11/4/1997,-0.04919449,942,NA,0.032539471,-0.04919449
41,11/5/1997,-0.043900672,947,10/27/1997,0.034838547,-0.043900672
42,11/6/1997,-0.048929133,942.25,NA,0.032654714,0.032654714
43,11/7/1997,-0.060671995,931.25,NA,0.027554854,0.027554854
44,11/10/1997,-0.066055588,926.25,NA,0.025216789,0.025216789
45,11/11/1997,-0.065785719,926.5,NA,0.025333992,0.025333992
46,11/12/1997,-0.085680094,908.25,10/27/1997,0.016693975,0.016693975
47,11/13/1997,-0.073641645,919.25,NA,0.021922207,0.021922207
48,11/14/1997,-0.059330614,932.5,NA,0.028137409,0.028137409
49,11/17/1997,-0.04073778,950,NA,0.036212174,0.036212174
50,11/18/1997,-0.048663846,942.5,NA,0.032769928,0.032769928
51,11/19/1997,-0.043109011,947.75,10/27/1997,0.035182362,0.035182362
52,11/20/1997,-0.027146353,963,NA,0.042114856,0.042114856
53,11/21/1997,-0.02041929,969.5,NA,0.045036382,0.045036382
54,11/24/1997,-0.038844836,951.8,NA,0.037034269,0.037034269
55,11/25/1997,-0.034598768,955.85,NA,0.038878313,0.038878313
56,11/26/1997,-0.02891323,961.3,10/27/1997,0.041347511,0.041347511
57,11/28/1997,-0.02693869,963.2,NA,0.042205043,0.042205043
58,12/1/1997,0,990.25,NA,0,0
59,12/2/1997,-0.004301082,986,NA,-0.004301082,-0.004301082
60,12/3/1997,-0.001768794,988.5,10/27/1997,-0.001768794,-0.001768794
61,12/4/1997,-0.002274739,988,NA,-0.002274739,-0.002274739
62,12/5/1997,0,997.75,NA,0,0
63,12/8/1997,-0.002006522,995.75,NA,-0.002006522,-0.002006522
64,12/9/1997,-0.007797801,990,NA,-0.007797801,-0.007797801
65,12/10/1997,-0.016675475,981.25,10/27/1997,-0.016675475,-0.016675475
66,12/11/1997,-0.033115609,965.25,NA,-0.033115609,-0.033115609
