VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,v1,v2,v3
CME_SP1_FW,22APR1982,117,118.4,117,117.9,2827,719,FW,1,SP
CME_SP1_FW,23APR1982,118.4,119.75,118.25,119.65,2933,946,FW,1,SP
CME_SP1_FW,26APR1982,119.3,120.6,118.65,120.55,2871,1084,FW,1,SP
CME_SP1_FW,27APR1982,120.2,120.35,118.4,118.85,3854,1142,FW,1,SP
CME_SP1_FW,28APR1982,118.55,119.3,117.7,118.15,3998,1306,FW,1,SP
CME_SP1_FW,29APR1982,117.5,118.15,117.25,117.6,3446,1219,FW,1,SP
CME_SP1_FW,30APR1982,117.55,118.4,117.4,117.5,2722,1295,FW,1,SP
CME_SP1_FW,03MAY1982,117.1,117.5,116.8,117.15,2695,1585,FW,1,SP
CME_SP1_FW,04MAY1982,117.25,118.05,117.25,117.8,2467,1537,FW,1,SP
CME_SP1_FW,05MAY1982,117.85,118.3,117.05,117.55,2556,1662,FW,1,SP
CME_SP1_FW,06MAY1982,118.05,119.2,118.05,119.1,4574,2078,FW,1,SP
CME_SP1_FW,07MAY1982,119.15,120.1,119,119.65,3715,2128,FW,1,SP
CME_SP1_FW,10MAY1982,119.2,119.4,118.45,118.5,3794,2467,FW,1,SP
CME_SP1_FW,11MAY1982,118.45,119.95,118.35,119.7,4460,2998,FW,1,SP
CME_SP1_FW,12MAY1982,119.85,120.35,119.05,119.55,4798,2655,FW,1,SP
CME_SP1_FW,13MAY1982,119.55,119.75,118.15,118.35,4736,2935,FW,1,SP
CME_SP1_FW,14MAY1982,118.55,118.75,118.1,118.3,3748,2751,FW,1,SP
CME_SP1_FW,17MAY1982,118.15,118.15,116.5,116.6,3973,2929,FW,1,SP
CME_SP1_FW,18MAY1982,116.6,116.7,115.75,116,6090,3399,FW,1,SP
CME_SP1_FW,19MAY1982,115.95,116.35,114.45,114.65,6686,3732,FW,1,SP
CME_SP1_FW,20MAY1982,114.85,115.2,114.15,114.95,7539,4858,FW,1,SP
